price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,nbr_bedrooms,equipped_kitchen,terrace_sqm,garden_sqm,state_building,primary_energy_consumption_sqm,heating_type,other_amenities
245000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Oostend,8400,51.2277836,2.9080428,1981.0,90.0,2.0,MISSING,6.0,0.0,MISSING,138.0,GAS,2
327250.0,APARTMENT,GROUND_FLOOR,Flanders,Antwerp,Turnhout,2430,51.0851411,5.0657421,2021.0,113.0,3.0,INSTALLED,13.0,0.0,MISSING,0.0,MISSING,1
469000.0,HOUSE,HOUSE,Flanders,Flemish Brabant,Halle-Vilvoorde,1740,50.876512,4.1939904,1995.0,182.0,4.0,USA_INSTALLED,,0.0,AS_NEW,191.0,GAS,1
239000.0,APARTMENT,APARTMENT,Flanders,East Flanders,Gent,9800,50.9803587,3.5295926,2012.0,68.0,2.0,INSTALLED,10.0,0.0,GOOD,139.0,GAS,1
297000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1030,50.8649665,4.3913846,1975.0,90.0,3.0,USA_INSTALLED,20.0,0.0,AS_NEW,337.0,GAS,2
375000.0,APARTMENT,APARTMENT,Flanders,East Flanders,Dendermonde,9280,51.0009292,4.1284125,1987.0,112.0,2.0,INSTALLED,0.0,0.0,GOOD,106.0,GAS,1
499000.0,HOUSE,HOUSE,Flanders,Antwerp,Antwerp,2060,51.2219373,4.4240756,1874.0,187.0,4.0,INSTALLED,0.0,0.0,MISSING,185.0,GAS,1
395000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Brugge,8200,51.1849785,3.2067164,2019.0,105.0,2.0,USA_HYPER_EQUIPPED,32.0,0.0,AS_NEW,95.09,MISSING,1
190000.0,HOUSE,HOUSE,Wallonia,Namur,Dinant,5570,50.110576,4.9546355,1932.0,,3.0,MISSING,,0.0,MISSING,313.0,FUELOIL,1
129000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1190,50.8081784,4.3176985,1950.0,40.0,1.0,MISSING,0.0,0.0,TO_BE_DONE_UP,0.0,GAS,2
395000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1050,50.833507,4.3636834,2022.0,76.0,1.0,HYPER_EQUIPPED,6.0,0.0,AS_NEW,110.0,GAS,2
339000.0,HOUSE,HOUSE,Flanders,Antwerp,Turnhout,2380,51.3725745,4.9914072,1978.0,236.0,3.0,SEMI_EQUIPPED,,,GOOD,393.0,FUELOIL,3
430000.0,HOUSE,HOUSE,Flanders,West Flanders,Brugge,8020,51.0874071,3.1649111,2022.0,142.0,4.0,MISSING,0.0,0.0,GOOD,0.0,GAS,1
257500.0,APARTMENT,FLAT_STUDIO,Brussels-Capital,Brussels,Brussels,1160,50.8163956,4.3989398,2022.0,48.0,0.0,USA_HYPER_EQUIPPED,8.0,0.0,MISSING,78.0,GAS,2
365000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Oostend,8400,51.2337879,2.9179968,2024.0,90.0,2.0,MISSING,0.0,0.0,GOOD,0.0,MISSING,1
229000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2060,51.2302435,4.4184699,2014.0,35.0,1.0,SEMI_EQUIPPED,6.0,0.0,GOOD,67.0,GAS,2
430000.0,HOUSE,MANSION,Wallonia,Liège,Waremme,4250,50.6593897,5.2003943,1900.0,315.0,5.0,INSTALLED,,300.0,AS_NEW,254.0,FUELOIL,1
745000.0,HOUSE,VILLA,Flanders,East Flanders,Dendermonde,9250,51.1225239,4.0877738,1994.0,322.0,3.0,INSTALLED,,0.0,GOOD,294.0,FUELOIL,2
359000.0,HOUSE,VILLA,Wallonia,Hainaut,Thuin,6150,50.4053662,4.2640889,1993.0,158.0,3.0,INSTALLED,90.0,1700.0,AS_NEW,136.0,GAS,2
1250000.0,APARTMENT,PENTHOUSE,Flanders,Limburg,Maaseik,3680,51.1003591,5.7875611,1999.0,400.0,3.0,MISSING,0.0,0.0,GOOD,216.0,GAS,1
220000.0,HOUSE,HOUSE,Flanders,Flemish Brabant,Halle-Vilvoorde,1785,50.9886132,4.2148376,1918.0,,2.0,INSTALLED,,,GOOD,727.0,ELECTRIC,1
274900.0,APARTMENT,APARTMENT,Wallonia,Luxembourg,Arlon,6700,49.6787754,5.8086021,2023.0,71.0,1.0,NOT_INSTALLED,6.0,0.0,MISSING,-6.0,MISSING,2
160000.0,APARTMENT,APARTMENT,Wallonia,Walloon Brabant,Nivelles,1300,50.7138241,4.6119057,1950.0,69.0,1.0,SEMI_EQUIPPED,0.0,0.0,TO_RENOVATE,287.0,MISSING,0
279000.0,HOUSE,HOUSE,Wallonia,Luxembourg,Marche-en-Famenne,6940,50.3708951,5.5190426,1948.0,290.0,4.0,INSTALLED,25.0,427.0,MISSING,305.0,GAS,1
295000.0,HOUSE,HOUSE,Flanders,Flemish Brabant,Leuven,3470,50.9126629,5.0434892,1961.0,228.0,3.0,INSTALLED,0.0,0.0,TO_RENOVATE,818.0,FUELOIL,1
194000.0,APARTMENT,GROUND_FLOOR,Flanders,Flemish Brabant,Halle-Vilvoorde,1500,50.7306801,4.2294816,1953.0,88.0,1.0,MISSING,0.0,0.0,MISSING,225.0,ELECTRIC,2
171717.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1070,50.8266515,4.3070416,1966.0,76.0,2.0,SEMI_EQUIPPED,6.0,0.0,TO_RENOVATE,326.0,GAS,0
495000.0,HOUSE,VILLA,Flanders,West Flanders,Kortrijk,8531,50.8740232,3.3075938,1996.0,405.0,6.0,INSTALLED,0.0,625.0,TO_BE_DONE_UP,392.0,ELECTRIC,2
395000.0,APARTMENT,SERVICE_FLAT,Brussels-Capital,Brussels,Brussels,1150,50.8318343,4.4437761,1989.0,95.0,2.0,USA_HYPER_EQUIPPED,18.0,0.0,JUST_RENOVATED,248.0,ELECTRIC,1
295000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Oostend,8400,51.2318755,2.9211131,2023.0,72.0,2.0,MISSING,7.0,0.0,GOOD,0.0,MISSING,0
137500.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1210,50.8568336,4.3729082,1890.0,58.0,1.0,MISSING,0.0,0.0,TO_RESTORE,171.0,MISSING,2
1650000.0,HOUSE,VILLA,Flanders,Antwerp,Turnhout,2360,51.3128636,5.0310039,2006.0,484.0,5.0,MISSING,,0.0,AS_NEW,139.0,GAS,2
324500.0,APARTMENT,APARTMENT,Flanders,West Flanders,Diksmuide,8610,51.0286996,3.0404701,2023.0,105.0,2.0,INSTALLED,16.0,0.0,GOOD,0.0,ELECTRIC,1
295000.0,HOUSE,HOUSE,Wallonia,Liège,Verviers,4880,50.7089557,5.8574946,1850.0,,3.0,MISSING,0.0,0.0,TO_RENOVATE,557.0,FUELOIL,1
420000.0,HOUSE,MIXED_USE_BUILDING,Flanders,East Flanders,Oudenaarde,9600,50.7444369,3.6008412,1964.0,444.0,4.0,MISSING,,0.0,MISSING,400.0,GAS,1
585000.0,HOUSE,HOUSE,Flanders,Antwerp,Antwerp,2550,51.1023271,4.4541011,2012.0,225.0,4.0,HYPER_EQUIPPED,,0.0,AS_NEW,86.0,GAS,2
142000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2100,51.2333443,4.4603083,1968.0,70.0,2.0,SEMI_EQUIPPED,5.0,0.0,GOOD,216.0,FUELOIL,3
325000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1200,50.8499945,4.4129742,1970.0,103.0,2.0,HYPER_EQUIPPED,8.0,0.0,GOOD,714.0,GAS,2
335000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Veurne,8660,51.0960674,2.5851811,2021.0,95.0,2.0,MISSING,10.0,0.0,GOOD,70.0,GAS,1
295000.0,HOUSE,HOUSE,Flanders,Antwerp,Antwerp,2040,51.355608,4.3293725,1976.0,128.0,3.0,INSTALLED,0.0,230.0,TO_BE_DONE_UP,455.0,GAS,1
227000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2170,51.2484629,4.4395039,1978.0,92.0,2.0,MISSING,7.0,0.0,TO_BE_DONE_UP,267.0,MISSING,2
2390000.0,HOUSE,HOUSE,Flanders,East Flanders,Gent,9800,50.9955931,3.5774981,1992.0,845.0,5.0,MISSING,0.0,0.0,GOOD,246.0,FUELOIL,0
269000.0,HOUSE,HOUSE,Flanders,Antwerp,Turnhout,2260,51.1042079,4.9195714,1967.0,196.0,3.0,INSTALLED,,0.0,MISSING,704.0,FUELOIL,1
215000.0,APARTMENT,APARTMENT,Flanders,Limburg,Hasselt,3800,50.8163008,5.1813335,1976.0,71.0,1.0,INSTALLED,10.0,0.0,MISSING,145.0,GAS,1
195000.0,APARTMENT,APARTMENT,Flanders,East Flanders,Aalst,9500,50.7692382,3.8775412,2006.0,50.0,1.0,MISSING,0.0,0.0,GOOD,105.0,MISSING,1
